keyword,paper_count,keyword_count
existing,129,140
generation,122,192
reasoning,111,251
single,105,88
accuracy,104,140
context,93,110
code,92,141
inference,88,122
information,88,135
transformer,86,89
remains,85,87
knowledge,82,110
quality,80,97
trained,79,72
baselines,78,82
evaluate,77,81
human,77,90
text,74,72
agent,73,118
address,73,75
use,72,87
gap,70,87
token,68,91
agents,68,158
design,66,87
image,65,91
efficient,65,61
structured,63,82
available,62,67
semantic,61,90
baseline,61,72
attention,60,148
strong,60,65
prior,59,67
optimization,59,112
policy,59,100
findings,58,63
visual,58,133
cost,58,62
multimodal,57,110
reinforcement,57,84
mechanism,56,65
behavior,56,78
representations,56,81
tokens,56,99
structure,55,85
control,54,94
architecture,54,62
retrieval,54,67
evidence,53,91
failure,53,71
support,53,62
settings,53,63
classification,53,72
process,53,75
standard,52,61
real-world,51,63
vision-language,51,68
modeling,50,69
pipeline,50,71
alignment,49,89
detection,48,89
prompt,48,71
fine-tuning,47,69
target,46,65
understanding,46,67
error,46,71
memory,46,97
agentic,45,89
selection,45,71
tool,44,70
features,44,66
structural,42,63
prediction,42,69
reward,39,88
spatial,36,78
safety,36,71
search,36,70
sparse,32,62
diffusion,29,69
