month,model_size_label,model_size_billion,optimization_method,paper_count
2026-07,not_mentioned,,Sparsity,31
2026-07,not_mentioned,,Distillation,21
2026-07,8B,8.0,not_mentioned,15
2026-07,7B,7.0,not_mentioned,14
2026-07,not_mentioned,,PEFT,9
2026-07,4B,4.0,not_mentioned,8
2026-07,not_mentioned,,Quantization,8
2026-07,3B,3.0,not_mentioned,7
2026-07,not_mentioned,,Pruning,7
2026-07,14B,14.0,not_mentioned,6
2026-07,70B,70.0,not_mentioned,6
2026-07,not_mentioned,,LoRA,6
2026-07,5B,5.0,not_mentioned,5
2026-07,120B,120.0,not_mentioned,4
2026-07,2B,2.0,not_mentioned,4
2026-07,7B,7.0,Distillation,4
2026-07,7B,7.0,Pruning,4
2026-07,7B,7.0,Sparsity,4
2026-07,8B,8.0,Pruning,4
2026-07,3B,3.0,LoRA,3
2026-07,3B,3.0,Quantization,3
2026-07,3B,3.0,Sparsity,3
2026-07,4B,4.0,Distillation,3
2026-07,4B,4.0,Sparsity,3
2026-07,5B,5.0,Quantization,3
2026-07,5B,5.0,Sparsity,3
2026-07,72B,72.0,not_mentioned,3
2026-07,7B,7.0,LoRA,3
2026-07,not_mentioned,,KV Cache Optimization,3
2026-07,not_mentioned,,Speculative Decoding,3
2026-07,12B,12.0,not_mentioned,2
2026-07,27B,27.0,not_mentioned,2
2026-07,32B,32.0,LoRA,2
2026-07,32B,32.0,PEFT,2
2026-07,32B,32.0,not_mentioned,2
2026-07,4B,4.0,PEFT,2
2026-07,4B,4.0,Quantization,2
2026-07,5B,5.0,Distillation,2
2026-07,6B,6.0,LoRA,2
2026-07,6B,6.0,PEFT,2
2026-07,6M,0.006,not_mentioned,2
2026-07,7B,7.0,Quantization,2
2026-07,8B,8.0,LoRA,2
2026-07,8B,8.0,Quantization,2
2026-07,8B,8.0,Sparsity,2
2026-07,9B,9.0,Quantization,2
2026-07,9B,9.0,not_mentioned,2
2026-07,0B,0.0,Quantization,1
2026-07,100M,0.1,not_mentioned,1
2026-07,10M,0.01,PEFT,1
2026-07,11B,11.0,not_mentioned,1
2026-07,11M,0.011,not_mentioned,1
2026-07,124M,0.124,not_mentioned,1
2026-07,125M,0.125,Sparsity,1
2026-07,12B,12.0,Sparsity,1
2026-07,131M,0.131,Quantization,1
2026-07,135M,0.135,not_mentioned,1
2026-07,13B,13.0,not_mentioned,1
2026-07,14B,14.0,Distillation,1
2026-07,14B,14.0,Sparsity,1
2026-07,160M,0.16,Quantization,1
2026-07,160M,0.16,Sparsity,1
2026-07,160M,0.16,not_mentioned,1
2026-07,175B,175.0,LoRA,1
2026-07,19M,0.019,not_mentioned,1
2026-07,1B,1.0,not_mentioned,1
2026-07,1M,0.001,not_mentioned,1
2026-07,20B,20.0,not_mentioned,1
2026-07,20M,0.02,not_mentioned,1
2026-07,235B,235.0,not_mentioned,1
2026-07,237M,0.237,not_mentioned,1
2026-07,25B,25.0,Distillation,1
2026-07,2B,2.0,Distillation,1
2026-07,2M,0.002,Distillation,1
2026-07,2M,0.002,LoRA,1
2026-07,2M,0.002,PEFT,1
2026-07,300M,0.3,Quantization,1
2026-07,30B,30.0,Distillation,1
2026-07,30B,30.0,Quantization,1
2026-07,30B,30.0,Sparsity,1
2026-07,30M,0.03,not_mentioned,1
2026-07,31B,31.0,Sparsity,1
2026-07,32B,32.0,Distillation,1
2026-07,32B,32.0,Pruning,1
2026-07,32B,32.0,Quantization,1
2026-07,34B,34.0,not_mentioned,1
2026-07,350M,0.35,KV Cache Optimization,1
2026-07,350M,0.35,not_mentioned,1
2026-07,360M,0.36,not_mentioned,1
2026-07,397B,397.0,not_mentioned,1
2026-07,3B,3.0,Pruning,1
2026-07,3M,0.003,not_mentioned,1
2026-07,42M,0.042,LoRA,1
2026-07,44M,0.044,not_mentioned,1
2026-07,46B,46.0,Quantization,1
2026-07,4B,4.0,Pruning,1
2026-07,540B,540.0,LoRA,1
2026-07,55M,0.055,Quantization,1
2026-07,593M,0.593,Quantization,1
2026-07,5B,5.0,LoRA,1
2026-07,5B,5.0,Pruning,1
2026-07,600M,0.6,Quantization,1
2026-07,64B,64.0,LoRA,1
2026-07,64B,64.0,Quantization,1
2026-07,6B,6.0,not_mentioned,1
2026-07,6M,0.006,Quantization,1
2026-07,70B,70.0,Distillation,1
2026-07,70M,0.07,not_mentioned,1
2026-07,750B,750.0,not_mentioned,1
2026-07,78M,0.078,not_mentioned,1
2026-07,87M,0.087,KV Cache Optimization,1
2026-07,8B,8.0,PEFT,1
2026-07,9M,0.009,not_mentioned,1
