month,keyword,keyword_count,previous_month_count,growth_rate,trend_score,rank_in_month
2026-07,reasoning,251,0,25100.0,138788.6701,1
2026-07,generation,192,0,19200.0,101043.6516,2
2026-07,agents,158,0,15800.0,80088.6864,3
2026-07,attention,148,0,14800.0,74058.4053,4
2026-07,code,141,0,14100.0,69877.1615,5
2026-07,accuracy,140,0,14000.0,69282.6385,6
2026-07,existing,140,0,14000.0,69282.6385,7
2026-07,information,135,0,13500.0,66320.841,8
2026-07,visual,133,0,13300.0,65141.2693,9
2026-07,inference,122,0,12200.0,58708.6491,10
2026-07,agent,118,0,11800.0,56393.6572,11
2026-07,optimization,112,0,11200.0,52946.7436,12
2026-07,context,110,0,11000.0,51804.8322,13
2026-07,knowledge,110,0,11000.0,51804.8322,14
2026-07,multimodal,110,0,11000.0,51804.8322,15
2026-07,policy,100,0,10000.0,46151.2052,16
2026-07,tokens,99,0,9900.0,45591.1848,17
2026-07,memory,97,0,9700.0,44474.1845,18
2026-07,quality,97,0,9700.0,44474.1845,19
2026-07,control,94,0,9400.0,42806.4428,20
2026-07,evidence,91,0,9100.0,41148.2761,21
2026-07,image,91,0,9100.0,41148.2761,22
2026-07,token,91,0,9100.0,41148.2761,23
2026-07,human,90,0,9000.0,40597.7356,24
2026-07,semantic,90,0,9000.0,40597.7356,25
2026-07,agentic,89,0,8900.0,40048.3061,26
2026-07,alignment,89,0,8900.0,40048.3061,27
2026-07,detection,89,0,8900.0,40048.3061,28
2026-07,transformer,89,0,8900.0,40048.3061,29
2026-07,reward,88,0,8800.0,39500.0001,30
2026-07,single,88,0,8800.0,39500.0001,31
2026-07,design,87,0,8700.0,38952.8303,32
2026-07,gap,87,0,8700.0,38952.8303,33
2026-07,remains,87,0,8700.0,38952.8303,34
2026-07,use,87,0,8700.0,38952.8303,35
2026-07,structure,85,0,8500.0,37861.952,36
2026-07,reinforcement,84,0,8400.0,37318.2706,37
2026-07,baselines,82,0,8200.0,36234.493,38
2026-07,structured,82,0,8200.0,36234.493,39
2026-07,evaluate,81,0,8100.0,35694.4259,40
2026-07,representations,81,0,8100.0,35694.4259,41
2026-07,behavior,78,0,7800.0,34081.6932,42
2026-07,spatial,78,0,7800.0,34081.6932,43
2026-07,address,75,0,7500.0,32480.5001,44
2026-07,process,75,0,7500.0,32480.5001,45
2026-07,baseline,72,0,7200.0,30891.308,46
2026-07,classification,72,0,7200.0,30891.308,47
2026-07,text,72,0,7200.0,30891.308,48
2026-07,trained,72,0,7200.0,30891.308,49
2026-07,error,71,0,7100.0,30364.3294,50
