month,category,paper_count,month_total,ratio
2026-07,cs.AI,316,1049,30.12
2026-07,cs.LG,221,1049,21.07
2026-07,cs.CL,173,1049,16.49
2026-07,cs.CV,99,1049,9.44
2026-07,cs.SE,32,1049,3.05
2026-07,cs.CR,28,1049,2.67
2026-07,stat.ML,15,1049,1.43
2026-07,cs.CY,12,1049,1.14
2026-07,cs.IR,11,1049,1.05
2026-07,cs.SD,11,1049,1.05
2026-07,cs.MA,10,1049,0.95
2026-07,cs.RO,10,1049,0.95
2026-07,cs.HC,8,1049,0.76
2026-07,eess.AS,7,1049,0.67
2026-07,math.OC,6,1049,0.57
2026-07,cs.AR,5,1049,0.48
2026-07,cs.CE,5,1049,0.48
2026-07,eess.SP,5,1049,0.48
2026-07,cs.DB,4,1049,0.38
2026-07,cs.NE,4,1049,0.38
2026-07,stat.ME,4,1049,0.38
2026-07,cs.GT,3,1049,0.29
2026-07,eess.SY,3,1049,0.29
2026-07,math.ST,3,1049,0.29
2026-07,q-bio.BM,3,1049,0.29
2026-07,astro-ph.IM,2,1049,0.19
2026-07,cond-mat.mtrl-sci,2,1049,0.19
2026-07,cs.DC,2,1049,0.19
2026-07,cs.ET,2,1049,0.19
2026-07,cs.LO,2,1049,0.19
2026-07,cs.NI,2,1049,0.19
2026-07,cs.PF,2,1049,0.19
2026-07,cs.PL,2,1049,0.19
2026-07,cs.SC,2,1049,0.19
2026-07,cs.SI,2,1049,0.19
2026-07,eess.IV,2,1049,0.19
2026-07,math.NA,2,1049,0.19
2026-07,math.PR,2,1049,0.19
2026-07,physics.soc-ph,2,1049,0.19
2026-07,q-bio.NC,2,1049,0.19
2026-07,q-bio.QM,2,1049,0.19
2026-07,astro-ph.HE,1,1049,0.1
2026-07,cond-mat.dis-nn,1,1049,0.1
2026-07,cond-mat.stat-mech,1,1049,0.1
2026-07,cs.DS,1,1049,0.1
2026-07,cs.FL,1,1049,0.1
2026-07,cs.GL,1,1049,0.1
2026-07,cs.GR,1,1049,0.1
2026-07,cs.IT,1,1049,0.1
2026-07,cs.MM,1,1049,0.1
2026-07,econ.TH,1,1049,0.1
2026-07,gr-qc,1,1049,0.1
2026-07,hep-th,1,1049,0.1
2026-07,math.NT,1,1049,0.1
2026-07,math.RT,1,1049,0.1
2026-07,physics.med-ph,1,1049,0.1
2026-07,q-bio.CB,1,1049,0.1
2026-07,quant-ph,1,1049,0.1
2026-07,stat.AP,1,1049,0.1
2026-07,stat.CO,1,1049,0.1
