rank,keyword,keyword_count,tfidf_score
1,reasoning,251,10.449055
2,generation,192,7.828987
3,agents,158,7.97086
4,attention,148,7.333606
5,code,141,6.268786
6,accuracy,140,6.010606
7,existing,140,5.48792
8,information,135,6.095649
9,visual,133,7.051885
10,inference,122,5.894152
11,agent,118,6.137641
12,optimization,112,5.89494
13,multimodal,110,5.930907
14,knowledge,110,5.390816
15,context,110,5.282974
16,policy,100,5.370903
17,tokens,99,5.279273
18,memory,97,5.829564
19,quality,97,4.838368
20,control,94,4.778354
21,evidence,91,4.97643
22,token,91,4.974227
23,image,91,4.869027
24,human,90,5.06724
25,semantic,90,4.729899
26,agentic,89,5.106427
27,detection,89,5.036106
28,alignment,89,4.920553
29,transformer,89,4.591148
30,reward,88,5.074924
31,single,88,4.024218
32,use,87,4.481042
33,design,87,4.417763
34,gap,87,4.398658
35,remains,87,3.957634
36,structure,85,4.387642
37,reinforcement,84,4.808058
38,structured,82,4.296055
39,baselines,82,3.969967
40,representations,81,4.446705
41,evaluate,81,3.94197
42,spatial,78,4.483698
43,behavior,78,4.08646
44,process,75,4.034128
45,address,75,3.745961
46,text,72,4.193748
47,classification,72,3.960279
48,trained,72,3.81039
49,baseline,72,3.530835
50,prompt,71,4.211262
51,selection,71,4.172783
52,safety,71,4.17247
53,error,71,3.948697
54,pipeline,71,3.836279
55,failure,71,3.780467
56,tool,70,4.24153
57,search,70,4.135026
58,diffusion,69,4.315592
59,prediction,69,4.060835
60,fine-tuning,69,4.019997
61,modeling,69,4.001293
62,vision-language,68,3.876157
63,retrieval,67,3.879104
64,understanding,67,3.672916
65,prior,67,3.656339
66,available,67,3.585712
67,features,66,3.796353
68,target,65,3.620095
69,strong,65,3.35206
70,mechanism,65,3.281661
71,real-world,63,3.611793
72,structural,63,3.565956
73,settings,63,3.440747
74,findings,63,3.275296
75,sparse,62,3.673328
76,cost,62,3.37885
77,architecture,62,3.362722
78,support,62,3.347848
79,efficient,61,3.480827
80,standard,61,3.228546
